celebrity,season,placement,celebrity_industry,celebrity_homecountry/region,Week1_Feasible_Width,Week1_IQR,Week1_Relative_Uncertainty,Week2_Feasible_Width,Week2_IQR,Week2_Relative_Uncertainty,Week3_Feasible_Width,Week3_IQR,Week3_Relative_Uncertainty,Week4_Feasible_Width,Week4_IQR,Week4_Relative_Uncertainty,Week5_Feasible_Width,Week5_IQR,Week5_Relative_Uncertainty,Week6_Feasible_Width,Week6_IQR,Week6_Relative_Uncertainty,Week7_Feasible_Width,Week7_IQR,Week7_Relative_Uncertainty,Week8_Feasible_Width,Week8_IQR,Week8_Relative_Uncertainty,Week9_Feasible_Width,Week9_IQR,Week9_Relative_Uncertainty,Week10_Feasible_Width,Week10_IQR,Week10_Relative_Uncertainty,Week11_Feasible_Width,Week11_IQR,Week11_Relative_Uncertainty
Tamar Braxton,21,5,Singer/Rapper,United States,0.335993333,0.0472865963012923,0.7641876418346703,0.936690705,0.0472865963012923,0.7641876418346703,0.339884044,0.0517029474227177,0.6951091437533886,0.502113644,0.0517029474227177,0.6951091437533886,0.163235306,0.05361087111543159,0.6688777385342527,1.0,0.05361087111543159,0.6688777385342527,0.170797813,0.055604775819598,0.6381183601085352,0.3436323,0.06033603183761109,0.5675074695963995,0.18437383,0.0638331462592451,0.5463809430964576,,,,,,
Nick Carter,21,2,Singer/Rapper,United States,1.0,0.2159066761268408,1.1368386001872832,0.253681858,0.2159066761268408,1.1368386001872832,1.0,0.2284273781737041,1.0716505166336892,0.502113644,0.2284273781737041,1.0716505166336892,0.207953422,0.23727919431082511,1.0619360684478603,0.252388666,0.23727919431082511,1.0619360684478603,0.170797813,0.2466673197088035,1.0470503474319364,0.884365047,0.2634113648444762,0.9802595646762936,0.343458379,0.2749370459934317,0.957442019944365,0.272139399,0.3086244270361038,0.7489422851649076,1.0,0.3086244270361038,0.7489422851649076
Hayes Grier,21,8,Social Media Personality,United States,0.149697143,0.1353238897015978,0.8196199639799342,0.253681858,0.1353238897015978,0.8196199639799342,0.152668923,0.1488868351454674,0.7907058662192646,0.502113644,0.1488868351454674,0.7907058662192646,0.187128931,0.1565561489304712,0.7880374516234492,0.186348477,0.1565561489304712,0.7880374516234492,0.502257443,0.1612382697594074,0.7662000906770492,,,,,,,,,,,,
Bindi Irwin,21,1,TV Personality,Australia,1.0,0.19835887377586442,1.064051877855087,0.500919214,0.19835887377586442,1.064051877855087,0.206545377,0.2146479961256475,1.0238546129517887,0.918614068,0.2146479961256475,1.0238546129517887,0.338860432,0.22261248959831814,1.0121691501481562,1.0,0.22261248959831814,1.0121691501481562,0.881202969,0.23039477359493968,0.9931572281003221,0.3436323,0.256854623644865,0.9677645294272551,1.0,0.2678410234427496,0.9469612136556507,1.0,0.2945157278540993,0.7204002142490156,1.0,0.2945157278540993,0.7204002142490156
Kim Zolciak-Biermann,21,11,TV Personality,United States,0.105813077,0.035990644449563305,0.5386746587064098,0.125669827,0.035990644449563305,0.5386746587064098,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Deen,21,9,TV Personality,United States,0.137755556,0.043737680044692494,0.6418406422532741,0.125669827,0.043737680044692494,0.6418406422532741,0.13438523,0.0489714624029246,0.6119194916235,0.138383635,0.0489714624029246,0.6119194916235,0.135811262,0.05038321996330541,0.5917554517759801,0.145516017,0.05038321996330541,0.5917554517759801,,,,,,,,,,,,,,,
Mischa Barton,22,11,Actor/Actress,England,0.120656105,0.0339817221813924,0.5492023299098469,0.113229337,0.0339817221813924,0.5492023299098469,0.105842451,0.0354979815553559,0.5397433502429205,,,,,,,,,,,,,,,,,,,,,,,,
Kim Fields,22,8,Actor/Actress,United States,0.13184404,0.0506830542083425,0.5905377279756013,0.119570132,0.0506830542083425,0.5905377279756013,0.205893173,0.05224430229288721,0.5740584579977529,0.17500779,0.05374185670108861,0.5555483255161984,0.1562847,0.056790291268080106,0.5444334302077243,0.176927335,0.056790291268080106,0.5444334302077243,0.206064766,0.05988631065770089,0.5330854915582838,,,,,,,,,,,,
Jodie Sweetin,22,6,Actor/Actress,United States,0.13184404,0.2390924450580194,0.9251132525132153,0.341801243,0.2390924450580194,0.9251132525132153,0.337542743,0.2512819812462686,0.9272838631200465,0.129194378,0.26044629953612064,0.9160882268498373,0.503618188,0.2716703892137446,0.9022601618526938,0.259896894,0.2716703892137446,0.9022601618526938,0.130826121,0.2858826280155834,0.8960473139132502,1.0,0.3341511770880773,0.8802123829734428,,,,,,,,,
Doug Flutie,22,9,Athlete,United States,0.113514104,0.040935575059276696,0.6352050687163111,0.208462576,0.040935575059276696,0.6352050687163111,0.134997347,0.04246709204521851,0.6165825815519033,0.12472989,0.0432184585203733,0.5880491190322163,0.1562847,0.047431814645546896,0.5988461143474834,0.129690098,0.047431814645546896,0.5988461143474834,,,,,,,,,,,,,,,
Von Miller,22,7,Athlete,United States,0.256321614,0.05013439377380541,0.5976931157347968,0.208462576,0.05013439377380541,0.5976931157347968,0.134997347,0.05287875055414991,0.5934041835916026,0.17500779,0.054408744390110994,0.5752498324013089,0.178718961,0.05726450578549251,0.5611992756276981,0.176927335,0.05726450578549251,0.5611992756276981,0.206064766,0.060105463297876915,0.5467579610676874,,,,,,,,,,,,
Antonio Brown,22,5,Athlete,United States,0.256321614,0.052098851877099395,1.099740046061455,0.119570132,0.052098851877099395,1.099740046061455,0.134997347,0.053540616206323895,1.0506174235545682,0.335416531,0.056256905319545907,1.02638899470347,0.127987101,0.05887056160028831,0.9746828998485776,0.33772862,0.05887056160028831,0.9746828998485776,0.206064766,0.062324549622020296,0.9380157991659235,0.210632888,0.0714234190933527,0.8249529229705185,0.208342369,0.07555107194550041,0.5468953887450706,,,,,,
Paige VanZant,22,2,Athlete,United States,0.256321614,0.1505133141616711,1.0712942621074006,1.0,0.1505133141616711,1.0712942621074006,0.337542743,0.1552767128677633,1.0497469996951043,1.0,0.1628556004478468,1.0472502485618447,0.259948768,0.1682462170812625,1.0155908974406767,0.502197643,0.1682462170812625,1.0155908974406767,0.501163224,0.1750372387455565,0.9915089741081325,0.25738395,0.1919516921379813,0.9028983691345721,0.50173716,0.21556931093082682,0.7200138366414763,0.674320303,0.2395262319019006,0.43447473371959244,,,
