Ranking,Country,Quantity,Filters
108,Various,31,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
109,Malta,31,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
110,Democratic People's Republic of Korea,30,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
111,British Virgin Islands (United Kingdom),28,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
112,Niger,26,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
113,Ethiopia,26,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
114,Haiti,26,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
115,Guatemala,24,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
116,Jordan,23,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
117,Brunei Darussalam,23,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
118,Liberia,21,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
119,Nepal,21,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
120,Côte d'Ivoire,19,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
121,Israel,19,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
122,Paraguay,17,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
123,Uruguay,17,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
124,New Caledonia,16,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
125,Tunisia,16,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
126,Cyprus,14,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
127,Liechtenstein,14,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
128,Serbia (Kosovo),13,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
129,Dominican Republic,12,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
130,Andorra,11,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
131,Mongolia,11,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
132,Bermuda (United Kingdom),11,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
133,Bolivia (Plurinational State of),11,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
134,Uganda,10,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
135,Saint Kitts and Nevis,10,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
136,Jamaica,10,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
137,Bosnia and Herzegovina,10,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
138,Georgia,9,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
139,Kenya,8,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
140,Sudan,7,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
141,Cameroon,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
142,Kyrgyzstan,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
143,Cambodia,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
144,Venezuela (Bolivarian Republic of),5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
145,Nicaragua,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
146,Myanmar,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
147,El Salvador,5,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
148,Gambia,4,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
149,Cuba,4,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
150,Libya,4,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
151,Antigua and Barbuda,4,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
152,Turks and Caicos Islands (United Kingdom),3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
153,Republic of Moldova,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
154,Bhutan,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
155,Cook Islands,3,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
